dataset,exp_name,time_cost
titanic,ratio_10_5_random_random,"0 m, 3.53 s"
titanic,ratio_10_5_random_sort,"0 m, 3.29 s"
titanic,ratio_10_5_random_prob,"0 m, 3.24 s"
titanic,ratio_10_5_sort_random,"0 m, 3.42 s"
titanic,ratio_10_5_sort_sort,"0 m, 3.30 s"
titanic,ratio_10_5_sort_prob,"0 m, 3.34 s"
titanic,ratio_10_5_full_random,"0 m, 3.52 s"
titanic,ratio_10_5_full_sort,"0 m, 3.29 s"
titanic,ratio_10_5_full_prob,"0 m, 3.31 s"
titanic,ratio_10_10_random_random,"0 m, 6.85 s"
titanic,ratio_10_10_random_sort,"0 m, 6.55 s"
titanic,ratio_10_10_random_prob,"0 m, 6.56 s"
titanic,ratio_10_10_sort_random,"0 m, 6.55 s"
titanic,ratio_10_10_sort_sort,"0 m, 6.57 s"
titanic,ratio_10_10_sort_prob,"0 m, 6.52 s"
titanic,ratio_10_10_full_random,"0 m, 6.96 s"
titanic,ratio_10_10_full_sort,"0 m, 6.56 s"
titanic,ratio_10_10_full_prob,"0 m, 6.72 s"
adult,abs_5_5_random_random,"1 m, 41.71 s"
adult,abs_5_5_random_sort,"1 m, 49.00 s"
adult,abs_5_5_random_prob,"1 m, 53.16 s"
adult,abs_5_5_sort_random,"1 m, 52.31 s"
adult,abs_5_5_sort_sort,"1 m, 44.01 s"
adult,abs_5_5_sort_prob,"1 m, 43.43 s"
adult,abs_5_5_full_random,"1 m, 58.93 s"
adult,abs_5_5_full_sort,"1 m, 42.22 s"
adult,abs_5_5_full_prob,"1 m, 56.19 s"
adult,abs_5_10_random_random,"3 m, 37.13 s"
adult,abs_5_10_random_sort,"2 m, 56.51 s"
adult,abs_5_10_random_prob,"3 m, 49.00 s"
adult,abs_5_10_sort_random,"3 m, 34.21 s"
adult,abs_5_10_sort_sort,"3 m, 16.01 s"
adult,abs_5_10_sort_prob,"3 m, 20.65 s"
adult,abs_5_10_full_random,"4 m, 1.46 s"
adult,abs_5_10_full_sort,"3 m, 14.84 s"
adult,abs_5_10_full_prob,"3 m, 36.23 s"
adult,abs_10_5_random_random,"3 m, 36.58 s"
adult,abs_10_5_random_sort,"2 m, 50.93 s"
adult,abs_10_5_random_prob,"3 m, 0.85 s"
adult,abs_10_5_sort_random,"3 m, 20.27 s"
adult,abs_10_5_sort_sort,"2 m, 54.64 s"
adult,abs_10_5_sort_prob,"3 m, 42.65 s"
adult,abs_10_5_full_random,"3 m, 51.76 s"
adult,abs_10_5_full_sort,"2 m, 56.03 s"
adult,abs_10_5_full_prob,"3 m, 37.39 s"
adult,abs_10_10_random_random,"7 m, 25.26 s"
adult,abs_10_10_random_sort,"6 m, 25.37 s"
adult,abs_10_10_random_prob,"6 m, 37.02 s"
adult,abs_10_10_sort_random,"7 m, 9.13 s"
adult,abs_10_10_sort_sort,"6 m, 24.28 s"
adult,abs_10_10_sort_prob,"7 m, 36.41 s"
adult,abs_10_10_full_random,"7 m, 15.23 s"
adult,abs_10_10_full_sort,"6 m, 25.47 s"
adult,abs_10_10_full_prob,"7 m, 35.44 s"
adult,abs_interaction_5_5_random_random,"1 m, 57.89 s"
adult,abs_interaction_5_5_random_sort,"1 m, 52.45 s"
adult,abs_interaction_5_5_random_prob,"1 m, 58.64 s"
adult,abs_interaction_5_5_sort_random,"1 m, 45.42 s"
adult,abs_interaction_5_5_sort_sort,"1 m, 54.38 s"
adult,abs_interaction_5_5_sort_prob,"2 m, 5.06 s"
adult,abs_interaction_5_5_full_random,"1 m, 52.85 s"
adult,abs_interaction_5_5_full_sort,"1 m, 47.45 s"
adult,abs_interaction_5_5_full_prob,"1 m, 51.40 s"
adult,abs_interaction_5_10_random_random,"3 m, 56.99 s"
adult,abs_interaction_5_10_random_sort,"3 m, 36.67 s"
adult,abs_interaction_5_10_random_prob,"3 m, 18.48 s"
adult,abs_interaction_5_10_sort_random,"3 m, 31.85 s"
adult,abs_interaction_5_10_sort_sort,"3 m, 44.99 s"
adult,abs_interaction_5_10_sort_prob,"3 m, 44.49 s"
adult,abs_interaction_5_10_full_random,"4 m, 8.19 s"
adult,abs_interaction_5_10_full_sort,"3 m, 36.35 s"
adult,abs_interaction_5_10_full_prob,"3 m, 43.01 s"
adult,abs_interaction_10_5_random_random,"3 m, 57.07 s"
adult,abs_interaction_10_5_random_sort,"3 m, 16.03 s"
adult,abs_interaction_10_5_random_prob,"3 m, 46.87 s"
adult,abs_interaction_10_5_sort_random,"3 m, 16.99 s"
adult,abs_interaction_10_5_sort_sort,"3 m, 8.24 s"
adult,abs_interaction_10_5_sort_prob,"3 m, 14.37 s"
adult,abs_interaction_10_5_full_random,"3 m, 22.30 s"
adult,abs_interaction_10_5_full_sort,"3 m, 20.38 s"
adult,abs_interaction_10_5_full_prob,"3 m, 56.86 s"
adult,abs_interaction_10_10_random_random,"6 m, 53.05 s"
adult,abs_interaction_10_10_random_sort,"7 m, 7.47 s"
adult,abs_interaction_10_10_random_prob,"7 m, 7.58 s"
adult,abs_interaction_10_10_sort_random,"7 m, 18.73 s"
adult,abs_interaction_10_10_sort_sort,"7 m, 6.35 s"
adult,abs_interaction_10_10_sort_prob,"7 m, 24.44 s"
adult,abs_interaction_10_10_full_random,"7 m, 17.12 s"
adult,abs_interaction_10_10_full_sort,"7 m, 8.24 s"
adult,abs_interaction_10_10_full_prob,"7 m, 14.47 s"
adult,ratio_5_5_random_random,"1 m, 54.19 s"
adult,ratio_5_5_random_sort,"1 m, 48.76 s"
adult,ratio_5_5_random_prob,"1 m, 56.98 s"
adult,ratio_5_5_sort_random,"1 m, 55.61 s"
adult,ratio_5_5_sort_sort,"2 m, 0.20 s"
adult,ratio_5_5_sort_prob,"1 m, 58.95 s"
adult,ratio_5_5_full_random,"2 m, 1.77 s"
adult,ratio_5_5_full_sort,"1 m, 55.17 s"
adult,ratio_5_5_full_prob,"1 m, 52.68 s"
adult,ratio_5_10_random_random,"3 m, 41.51 s"
adult,ratio_5_10_random_sort,"3 m, 49.89 s"
adult,ratio_5_10_random_prob,"3 m, 27.23 s"
adult,ratio_5_10_sort_random,"3 m, 48.20 s"
adult,ratio_5_10_sort_sort,"3 m, 47.65 s"
adult,ratio_5_10_sort_prob,"3 m, 37.40 s"
adult,ratio_5_10_full_random,"3 m, 48.04 s"
adult,ratio_5_10_full_sort,"3 m, 33.16 s"
adult,ratio_5_10_full_prob,"3 m, 36.45 s"
adult,ratio_10_5_random_random,"3 m, 25.12 s"
adult,ratio_10_5_random_sort,"3 m, 48.51 s"
adult,ratio_10_5_random_prob,"3 m, 43.83 s"
adult,ratio_10_5_sort_random,"3 m, 22.68 s"
adult,ratio_10_5_sort_sort,"3 m, 32.55 s"
adult,ratio_10_5_sort_prob,"3 m, 45.21 s"
adult,ratio_10_5_full_random,"3 m, 18.26 s"
adult,ratio_10_5_full_sort,"3 m, 42.85 s"
adult,ratio_10_5_full_prob,"4 m, 3.65 s"
adult,ratio_10_10_random_random,"6 m, 54.85 s"
adult,ratio_10_10_random_sort,"6 m, 33.55 s"
adult,ratio_10_10_random_prob,"7 m, 40.73 s"
adult,ratio_10_10_sort_random,"7 m, 32.08 s"
adult,ratio_10_10_sort_sort,"7 m, 45.39 s"
adult,ratio_10_10_sort_prob,"8 m, 6.95 s"
adult,ratio_10_10_full_random,"6 m, 55.01 s"
adult,ratio_10_10_full_sort,"7 m, 28.88 s"
adult,ratio_10_10_full_prob,"6 m, 30.07 s"
boston,abs_5_5_random_random,"0 m, 2.82 s"
boston,abs_5_5_random_sort,"0 m, 2.76 s"
boston,abs_5_5_random_prob,"0 m, 2.76 s"
boston,abs_5_5_sort_random,"0 m, 2.72 s"
boston,abs_5_5_sort_sort,"0 m, 2.72 s"
boston,abs_5_5_sort_prob,"0 m, 2.71 s"
boston,abs_5_5_full_random,"0 m, 2.82 s"
boston,abs_5_5_full_sort,"0 m, 2.75 s"
boston,abs_5_5_full_prob,"0 m, 2.75 s"
boston,abs_5_10_random_random,"0 m, 5.33 s"
boston,abs_5_10_random_sort,"0 m, 5.34 s"
boston,abs_5_10_random_prob,"0 m, 5.41 s"
boston,abs_5_10_sort_random,"0 m, 5.23 s"
boston,abs_5_10_sort_sort,"0 m, 5.26 s"
boston,abs_5_10_sort_prob,"0 m, 5.24 s"
boston,abs_5_10_full_random,"0 m, 5.27 s"
boston,abs_5_10_full_sort,"0 m, 5.30 s"
boston,abs_5_10_full_prob,"0 m, 5.41 s"
boston,abs_10_5_random_random,"0 m, 4.84 s"
boston,abs_10_5_random_sort,"0 m, 4.84 s"
boston,abs_10_5_random_prob,"0 m, 4.90 s"
boston,abs_10_5_sort_random,"0 m, 4.86 s"
boston,abs_10_5_sort_sort,"0 m, 4.84 s"
boston,abs_10_5_sort_prob,"0 m, 4.83 s"
boston,abs_10_5_full_random,"0 m, 4.80 s"
boston,abs_10_5_full_sort,"0 m, 4.83 s"
boston,abs_10_5_full_prob,"0 m, 4.82 s"
boston,abs_10_10_random_random,"0 m, 9.66 s"
boston,abs_10_10_random_sort,"0 m, 9.58 s"
boston,abs_10_10_random_prob,"0 m, 9.66 s"
boston,abs_10_10_sort_random,"0 m, 9.62 s"
boston,abs_10_10_sort_sort,"0 m, 9.55 s"
boston,abs_10_10_sort_prob,"0 m, 9.68 s"
boston,abs_10_10_full_random,"0 m, 9.65 s"
boston,abs_10_10_full_sort,"0 m, 9.57 s"
boston,abs_10_10_full_prob,"0 m, 9.68 s"
