dataset,exp_name,time_cost
titanic,ratio_10_5_random_random,"0 m, 3.90 s"
titanic,ratio_10_5_random_sort,"0 m, 3.59 s"
titanic,ratio_10_5_random_prob,"0 m, 3.58 s"
titanic,ratio_10_5_sort_random,"0 m, 3.86 s"
titanic,ratio_10_5_sort_sort,"0 m, 3.59 s"
titanic,ratio_10_5_sort_prob,"0 m, 3.71 s"
titanic,ratio_10_5_full_random,"0 m, 3.70 s"
titanic,ratio_10_5_full_sort,"0 m, 3.59 s"
titanic,ratio_10_5_full_prob,"0 m, 3.68 s"
titanic,ratio_10_10_random_random,"0 m, 7.62 s"
titanic,ratio_10_10_random_sort,"0 m, 7.19 s"
titanic,ratio_10_10_random_prob,"0 m, 7.31 s"
titanic,ratio_10_10_sort_random,"0 m, 7.44 s"
titanic,ratio_10_10_sort_sort,"0 m, 7.20 s"
titanic,ratio_10_10_sort_prob,"0 m, 7.40 s"
titanic,ratio_10_10_full_random,"0 m, 7.17 s"
titanic,ratio_10_10_full_sort,"0 m, 7.21 s"
titanic,ratio_10_10_full_prob,"0 m, 7.47 s"
adult,abs_5_5_random_random,"2 m, 51.02 s"
adult,abs_5_5_random_sort,"2 m, 33.78 s"
adult,abs_5_5_random_prob,"2 m, 57.60 s"
adult,abs_5_5_sort_random,"2 m, 30.07 s"
adult,abs_5_5_sort_sort,"2 m, 31.93 s"
adult,abs_5_5_sort_prob,"2 m, 34.44 s"
adult,abs_5_5_full_random,"2 m, 35.39 s"
adult,abs_5_5_full_sort,"2 m, 24.32 s"
adult,abs_5_5_full_prob,"2 m, 44.86 s"
adult,abs_5_10_random_random,"5 m, 37.38 s"
adult,abs_5_10_random_sort,"4 m, 54.92 s"
adult,abs_5_10_random_prob,"5 m, 20.80 s"
adult,abs_5_10_sort_random,"4 m, 49.10 s"
adult,abs_5_10_sort_sort,"4 m, 43.77 s"
adult,abs_5_10_sort_prob,"4 m, 41.49 s"
adult,abs_5_10_full_random,"5 m, 44.93 s"
adult,abs_5_10_full_sort,"4 m, 38.97 s"
adult,abs_5_10_full_prob,"5 m, 13.34 s"
adult,abs_10_5_random_random,"4 m, 41.96 s"
adult,abs_10_5_random_sort,"4 m, 27.72 s"
adult,abs_10_5_random_prob,"4 m, 51.61 s"
adult,abs_10_5_sort_random,"5 m, 0.18 s"
adult,abs_10_5_sort_sort,"4 m, 27.43 s"
adult,abs_10_5_sort_prob,"5 m, 14.24 s"
adult,abs_10_5_full_random,"4 m, 59.50 s"
adult,abs_10_5_full_sort,"4 m, 28.16 s"
adult,abs_10_5_full_prob,"4 m, 50.75 s"
adult,abs_10_10_random_random,"10 m, 26.23 s"
adult,abs_10_10_random_sort,"9 m, 52.59 s"
adult,abs_10_10_random_prob,"9 m, 46.17 s"
adult,abs_10_10_sort_random,"10 m, 29.22 s"
adult,abs_10_10_sort_sort,"9 m, 14.50 s"
adult,abs_10_10_sort_prob,"9 m, 55.47 s"
adult,abs_10_10_full_random,"10 m, 16.68 s"
adult,abs_10_10_full_sort,"9 m, 11.23 s"
adult,abs_10_10_full_prob,"9 m, 38.50 s"
adult,abs_interaction_5_5_random_random,"2 m, 48.46 s"
adult,abs_interaction_5_5_random_sort,"3 m, 4.76 s"
adult,abs_interaction_5_5_random_prob,"2 m, 40.75 s"
adult,abs_interaction_5_5_sort_random,"2 m, 43.98 s"
adult,abs_interaction_5_5_sort_sort,"2 m, 40.65 s"
adult,abs_interaction_5_5_sort_prob,"2 m, 39.07 s"
adult,abs_interaction_5_5_full_random,"3 m, 2.12 s"
adult,abs_interaction_5_5_full_sort,"2 m, 47.33 s"
adult,abs_interaction_5_5_full_prob,"2 m, 34.22 s"
adult,abs_interaction_5_10_random_random,"5 m, 51.85 s"
adult,abs_interaction_5_10_random_sort,"4 m, 45.28 s"
adult,abs_interaction_5_10_random_prob,"5 m, 12.81 s"
adult,abs_interaction_5_10_sort_random,"5 m, 4.52 s"
adult,abs_interaction_5_10_sort_sort,"5 m, 23.56 s"
adult,abs_interaction_5_10_sort_prob,"5 m, 23.23 s"
adult,abs_interaction_5_10_full_random,"5 m, 23.16 s"
adult,abs_interaction_5_10_full_sort,"5 m, 16.59 s"
adult,abs_interaction_5_10_full_prob,"4 m, 55.34 s"
adult,abs_interaction_10_5_random_random,"5 m, 7.18 s"
adult,abs_interaction_10_5_random_sort,"4 m, 56.63 s"
adult,abs_interaction_10_5_random_prob,"5 m, 10.98 s"
adult,abs_interaction_10_5_sort_random,"4 m, 51.48 s"
adult,abs_interaction_10_5_sort_sort,"4 m, 51.78 s"
adult,abs_interaction_10_5_sort_prob,"5 m, 17.55 s"
adult,abs_interaction_10_5_full_random,"5 m, 5.80 s"
adult,abs_interaction_10_5_full_sort,"5 m, 0.20 s"
adult,abs_interaction_10_5_full_prob,"5 m, 2.95 s"
adult,abs_interaction_10_10_random_random,"9 m, 43.98 s"
adult,abs_interaction_10_10_random_sort,"10 m, 9.66 s"
adult,abs_interaction_10_10_random_prob,"9 m, 36.05 s"
adult,abs_interaction_10_10_sort_random,"9 m, 22.11 s"
adult,abs_interaction_10_10_sort_sort,"9 m, 57.69 s"
adult,abs_interaction_10_10_sort_prob,"9 m, 24.98 s"
adult,abs_interaction_10_10_full_random,"9 m, 37.58 s"
adult,abs_interaction_10_10_full_sort,"10 m, 7.68 s"
adult,abs_interaction_10_10_full_prob,"10 m, 10.52 s"
adult,ratio_5_5_random_random,"2 m, 41.61 s"
adult,ratio_5_5_random_sort,"2 m, 53.33 s"
adult,ratio_5_5_random_prob,"2 m, 34.94 s"
adult,ratio_5_5_sort_random,"2 m, 38.35 s"
adult,ratio_5_5_sort_sort,"2 m, 41.44 s"
adult,ratio_5_5_sort_prob,"2 m, 41.31 s"
adult,ratio_5_5_full_random,"2 m, 46.81 s"
adult,ratio_5_5_full_sort,"2 m, 48.29 s"
adult,ratio_5_5_full_prob,"2 m, 56.12 s"
adult,ratio_5_10_random_random,"5 m, 15.37 s"
adult,ratio_5_10_random_sort,"5 m, 9.00 s"
adult,ratio_5_10_random_prob,"5 m, 6.75 s"
adult,ratio_5_10_sort_random,"5 m, 16.58 s"
adult,ratio_5_10_sort_sort,"5 m, 7.60 s"
adult,ratio_5_10_sort_prob,"5 m, 34.78 s"
adult,ratio_5_10_full_random,"5 m, 15.21 s"
adult,ratio_5_10_full_sort,"5 m, 16.98 s"
adult,ratio_5_10_full_prob,"5 m, 17.07 s"
adult,ratio_10_5_random_random,"4 m, 30.94 s"
adult,ratio_10_5_random_sort,"5 m, 11.32 s"
adult,ratio_10_5_random_prob,"5 m, 1.96 s"
adult,ratio_10_5_sort_random,"5 m, 3.40 s"
adult,ratio_10_5_sort_sort,"5 m, 2.97 s"
adult,ratio_10_5_sort_prob,"5 m, 14.97 s"
adult,ratio_10_5_full_random,"5 m, 3.64 s"
adult,ratio_10_5_full_sort,"5 m, 12.58 s"
adult,ratio_10_5_full_prob,"5 m, 32.45 s"
adult,ratio_10_10_random_random,"9 m, 47.77 s"
adult,ratio_10_10_random_sort,"10 m, 22.83 s"
adult,ratio_10_10_random_prob,"9 m, 58.51 s"
adult,ratio_10_10_sort_random,"10 m, 6.57 s"
adult,ratio_10_10_sort_sort,"10 m, 21.39 s"
adult,ratio_10_10_sort_prob,"10 m, 23.42 s"
adult,ratio_10_10_full_random,"9 m, 56.04 s"
adult,ratio_10_10_full_sort,"10 m, 22.13 s"
adult,ratio_10_10_full_prob,"9 m, 59.54 s"
boston,abs_5_5_random_random,"0 m, 2.75 s"
boston,abs_5_5_random_sort,"0 m, 2.85 s"
boston,abs_5_5_random_prob,"0 m, 2.75 s"
boston,abs_5_5_sort_random,"0 m, 2.78 s"
boston,abs_5_5_sort_sort,"0 m, 2.74 s"
boston,abs_5_5_sort_prob,"0 m, 2.71 s"
boston,abs_5_5_full_random,"0 m, 2.75 s"
boston,abs_5_5_full_sort,"0 m, 2.76 s"
boston,abs_5_5_full_prob,"0 m, 2.81 s"
boston,abs_5_10_random_random,"0 m, 5.51 s"
boston,abs_5_10_random_sort,"0 m, 5.43 s"
